策略,提示词,重复,平均熵,重复率,情感命中率,动态触发
A,你今天真好看,1,2.2558,0.2174,0.0311,0
A,终于等到你了，我好开心,1,2.089,0.2411,0.1366,0
A,今天的中标消息让我兴奋得睡不着,1,0.6264,0.8696,0.0075,0
A,一切都结束了,1,2.5051,0.0198,0.2488,0
A,他走了，再也不会回来了,1,1.3087,0.3162,3.8372,0
A,我好像再也找不到活下去的意义了,1,2.5914,0.0909,0.2347,0
A,你今天真好看,2,2.2308,0.2451,0.0437,0
A,终于等到你了，我好开心,2,1.6904,0.4506,0.0165,0
A,今天的中标消息让我兴奋得睡不着,2,1.9659,0.4585,0.0513,0
A,一切都结束了,2,1.0098,0.7391,0.0543,0
A,他走了，再也不会回来了,2,1.5335,0.4901,0.0867,0
A,我好像再也找不到活下去的意义了,2,1.7498,0.0,0.1462,0
A,你今天真好看,3,0.8944,0.7431,0.0141,0
A,终于等到你了，我好开心,3,0.6665,0.8261,0.0222,0
A,今天的中标消息让我兴奋得睡不着,3,0.4964,0.8696,0.0204,0
A,一切都结束了,3,1.2343,0.6126,0.0048,0
A,他走了，再也不会回来了,3,2.1765,0.0474,0.1274,0
A,我好像再也找不到活下去的意义了,3,2.5744,0.0,0.1048,0
B,你今天真好看,1,0.2641,0.9407,0.0063,0
B,终于等到你了，我好开心,1,0.3935,0.8617,0.0746,0
B,今天的中标消息让我兴奋得睡不着,1,2.2739,0.0553,0.0083,1
B,一切都结束了,1,2.1127,0.1383,0.0735,0
B,他走了，再也不会回来了,1,1.9741,0.3597,0.0374,0
B,我好像再也找不到活下去的意义了,1,2.6338,0.0,0.1574,0
B,你今天真好看,2,1.2616,0.5494,0.0823,0
B,终于等到你了，我好开心,2,2.1879,0.004,0.1748,0
B,今天的中标消息让我兴奋得睡不着,2,1.7158,0.4743,0.0511,1
B,一切都结束了,2,1.2821,0.6245,0.0541,0
B,他走了，再也不会回来了,2,0.9366,0.7352,0.026,0
B,我好像再也找不到活下去的意义了,2,1.2714,0.5652,0.1353,0
B,你今天真好看,3,2.31,0.083,0.0262,0
B,终于等到你了，我好开心,3,1.058,0.7194,0.051,0
B,今天的中标消息让我兴奋得睡不着,3,0.8624,0.8182,0.0267,1
B,一切都结束了,3,1.8069,0.3597,0.0113,0
B,他走了，再也不会回来了,3,1.7906,0.1423,0.1106,0
B,我好像再也找不到活下去的意义了,3,2.0208,0.004,0.2157,0
C,你今天真好看,1,0.9381,0.7668,0.0,0
C,终于等到你了，我好开心,1,1.8013,0.4032,0.0615,0
C,今天的中标消息让我兴奋得睡不着,1,0.8219,0.8063,0.0795,1
C,一切都结束了,1,2.2819,0.2055,0.0169,0
C,他走了，再也不会回来了,1,2.8944,0.0079,0.0287,0
C,我好像再也找不到活下去的意义了,1,2.1329,0.0,0.1306,0
C,你今天真好看,2,1.6331,0.0672,1.0962,0
C,终于等到你了，我好开心,2,0.3798,0.8933,0.0095,0
C,今天的中标消息让我兴奋得睡不着,2,2.024,0.3874,0.0571,1
C,一切都结束了,2,1.7062,0.3083,0.0335,0
C,他走了，再也不会回来了,2,0.3469,0.7391,0.7,0
C,我好像再也找不到活下去的意义了,2,2.1375,0.0079,0.1706,0
C,你今天真好看,3,1.468,0.0593,0.2246,0
C,终于等到你了，我好开心,3,1.8596,0.3004,0.0404,0
C,今天的中标消息让我兴奋得睡不着,3,2.0188,0.3241,0.0981,1
C,一切都结束了,3,1.8451,0.3557,0.0505,0
C,他走了，再也不会回来了,3,1.2613,0.6285,0.046,0
C,我好像再也找不到活下去的意义了,3,2.1011,0.0,0.2085,0
