配置,提示词,区间,平均熵,重复率
配置1_无衰减,开心:你今天真好看,0-256,1.8542,0.1225
配置1_无衰减,开心:你今天真好看,256-512,0.0504,0.9407
配置1_无衰减,开心:你今天真好看,512-1024,0.0139,0.9705
配置1_无衰减,开心:你今天真好看,1024-2048,0.0155,0.9853
配置1_无衰减,悲伤:一切都结束了,0-256,1.5007,0.3123
配置1_无衰减,悲伤:一切都结束了,256-512,1.5236,0.2332
配置1_无衰减,悲伤:一切都结束了,512-1024,0.5882,0.6444
配置1_无衰减,悲伤:一切都结束了,1024-2048,0.0147,0.9696
配置1_无衰减,中性:今天天气不错,0-256,2.08,0.0119
配置1_无衰减,中性:今天天气不错,256-512,2.1917,0.004
配置1_无衰减,中性:今天天气不错,512-1024,0.4811,0.8271
配置1_无衰减,中性:今天天气不错,1024-2048,0.0133,0.9687
配置2_步数衰减,开心:你今天真好看,0-256,1.8464,0.166
配置2_步数衰减,开心:你今天真好看,256-512,0.7244,0.6877
配置2_步数衰减,开心:你今天真好看,512-1024,0.0106,0.9764
配置2_步数衰减,开心:你今天真好看,1024-2048,0.0047,0.9882
配置2_步数衰减,悲伤:一切都结束了,0-256,2.3817,0.2292
配置2_步数衰减,悲伤:一切都结束了,256-512,0.032,0.9723
配置2_步数衰减,悲伤:一切都结束了,512-1024,0.1222,0.9862
配置2_步数衰减,悲伤:一切都结束了,1024-2048,0.0447,0.9931
配置2_步数衰减,中性:今天天气不错,0-256,2.0346,0.0158
配置2_步数衰减,中性:今天天气不错,256-512,0.8294,0.5534
配置2_步数衰减,中性:今天天气不错,512-1024,0.0194,0.9705
配置2_步数衰减,中性:今天天气不错,1024-2048,0.0143,0.9853
配置3_激进衰减,开心:你今天真好看,0-256,2.8895,0.0
配置3_激进衰减,开心:你今天真好看,256-512,2.6587,0.0
配置3_激进衰减,开心:你今天真好看,512-1024,3.4243,0.002
配置3_激进衰减,开心:你今天真好看,1024-2048,3.7828,0.002
配置3_激进衰减,悲伤:一切都结束了,0-256,4.1814,0.004
配置3_激进衰减,悲伤:一切都结束了,256-512,3.287,0.0
配置3_激进衰减,悲伤:一切都结束了,512-1024,3.8181,0.0059
配置3_激进衰减,悲伤:一切都结束了,1024-2048,3.5003,0.0
配置3_激进衰减,中性:今天天气不错,0-256,3.0092,0.0
配置3_激进衰减,中性:今天天气不错,256-512,3.7983,0.004
配置3_激进衰减,中性:今天天气不错,512-1024,4.0105,0.0
配置3_激进衰减,中性:今天天气不错,1024-2048,4.6524,0.0
配置4_更激进衰减,开心:你今天真好看,0-256,2.1962,0.0
配置4_更激进衰减,开心:你今天真好看,256-512,3.0051,0.0
配置4_更激进衰减,开心:你今天真好看,512-1024,3.7149,0.0
配置4_更激进衰减,开心:你今天真好看,1024-2048,4.2075,0.0
配置4_更激进衰减,悲伤:一切都结束了,0-256,3.0953,0.0553
配置4_更激进衰减,悲伤:一切都结束了,256-512,3.0288,0.0435
配置4_更激进衰减,悲伤:一切都结束了,512-1024,2.3742,0.5678
配置4_更激进衰减,悲伤:一切都结束了,1024-2048,2.2576,0.19
配置4_更激进衰减,中性:今天天气不错,0-256,3.3095,0.0
配置4_更激进衰减,中性:今天天气不错,256-512,4.0771,0.0
配置4_更激进衰减,中性:今天天气不错,512-1024,3.4631,0.002
配置4_更激进衰减,中性:今天天气不错,1024-2048,4.1868,0.001
配置3_激进稳定,开心:你今天真好看,0-256,4.0176,0.0
配置3_激进稳定,开心:你今天真好看,256-512,4.6985,0.0
配置3_激进稳定,开心:你今天真好看,512-1024,4.9488,0.0
配置3_激进稳定,开心:你今天真好看,1024-2048,5.2986,0.0
配置3_激进稳定,悲伤:一切都结束了,0-256,3.9644,0.0
配置3_激进稳定,悲伤:一切都结束了,256-512,3.8827,0.1383
配置3_激进稳定,悲伤:一切都结束了,512-1024,4.5461,0.0177
配置3_激进稳定,悲伤:一切都结束了,1024-2048,4.6036,0.0118
配置3_激进稳定,中性:今天天气不错,0-256,2.4341,0.004
配置3_激进稳定,中性:今天天气不错,256-512,3.1596,0.0
配置3_激进稳定,中性:今天天气不错,512-1024,3.8612,0.0098
配置3_激进稳定,中性:今天天气不错,1024-2048,3.589,0.0127
